id,chars
https://grundbuecher.acdh.oeaw.ac.at/e00148_1444-12-18.html,428
https://grundbuecher.acdh.oeaw.ac.at/e00149_1445-04-28.html,618
https://grundbuecher.acdh.oeaw.ac.at/e00150_1445-04-29.html,636
https://grundbuecher.acdh.oeaw.ac.at/e00151_1445-06-11.html,1746
https://grundbuecher.acdh.oeaw.ac.at/e00152_1445-03-08.html,498
https://grundbuecher.acdh.oeaw.ac.at/e00153_1445-07-14.html,769
https://grundbuecher.acdh.oeaw.ac.at/e00154_1445.html,547
https://grundbuecher.acdh.oeaw.ac.at/e00155_1447-04-28.html,913
https://grundbuecher.acdh.oeaw.ac.at/e00157_1449-05-23.html,557
https://grundbuecher.acdh.oeaw.ac.at/e00158_1453-06-25.html,577
https://grundbuecher.acdh.oeaw.ac.at/e00159_1454-02-06.html,576
https://grundbuecher.acdh.oeaw.ac.at/e00160_1454-02-06.html,637
https://grundbuecher.acdh.oeaw.ac.at/e00161_1454-03-12.html,850
https://grundbuecher.acdh.oeaw.ac.at/e00162_1455-03-19.html,853
https://grundbuecher.acdh.oeaw.ac.at/e00163_1455-06-18.html,502
https://grundbuecher.acdh.oeaw.ac.at/e00164_1455-09-15.html,634
https://grundbuecher.acdh.oeaw.ac.at/e00165_1456-09-27.html,641
https://grundbuecher.acdh.oeaw.ac.at/e00166_1457-07-01.html,413
https://grundbuecher.acdh.oeaw.ac.at/e00167_1457-07-01.html,594
https://grundbuecher.acdh.oeaw.ac.at/e00168_1457-07-06.html,1187
https://grundbuecher.acdh.oeaw.ac.at/e00169_1457-09-09.html,609
https://grundbuecher.acdh.oeaw.ac.at/e00170_1460-12-03.html,604
https://grundbuecher.acdh.oeaw.ac.at/e00171_1463-02-07.html,810
https://grundbuecher.acdh.oeaw.ac.at/e00172_1463-02-07.html,669
https://grundbuecher.acdh.oeaw.ac.at/e00173_1463-08-17.html,535
https://grundbuecher.acdh.oeaw.ac.at/e00174_1465-09-26.html,5191
https://grundbuecher.acdh.oeaw.ac.at/e00175_1466-03-19.html,574
https://grundbuecher.acdh.oeaw.ac.at/e00176_1467-02-27.html,1118
https://grundbuecher.acdh.oeaw.ac.at/e00177_1470-10-30.html,1164
https://grundbuecher.acdh.oeaw.ac.at/e00178_1471-12-27.html,1197
https://grundbuecher.acdh.oeaw.ac.at/e00179_1472-08-05.html,1228
https://grundbuecher.acdh.oeaw.ac.at/e00180_1473-08-18.html,2809
https://grundbuecher.acdh.oeaw.ac.at/e00181_1473-08-13.html,634
https://grundbuecher.acdh.oeaw.ac.at/e00182_1473-11-17.html,1017
https://grundbuecher.acdh.oeaw.ac.at/e00183_1438-02-17.html,447
https://grundbuecher.acdh.oeaw.ac.at/e00184_1438-03-05.html,604
https://grundbuecher.acdh.oeaw.ac.at/e00185_1438-03-07.html,697
https://grundbuecher.acdh.oeaw.ac.at/e00186_1438-05-05.html,672
https://grundbuecher.acdh.oeaw.ac.at/e00187_1438-09-12.html,505
https://grundbuecher.acdh.oeaw.ac.at/e00188_1438-11-24.html,793
https://grundbuecher.acdh.oeaw.ac.at/e00189_1438-11-21.html,502
https://grundbuecher.acdh.oeaw.ac.at/e00190_1438-11-19.html,427
https://grundbuecher.acdh.oeaw.ac.at/e00191_1438-12-09.html,576
https://grundbuecher.acdh.oeaw.ac.at/e00192_1438-12-19.html,994
https://grundbuecher.acdh.oeaw.ac.at/e00193_1439-01-23.html,679
https://grundbuecher.acdh.oeaw.ac.at/e00194_1439-04-20.html,367
https://grundbuecher.acdh.oeaw.ac.at/e00195_1439-06-10.html,543
https://grundbuecher.acdh.oeaw.ac.at/e00196_1439-10-14.html,434
https://grundbuecher.acdh.oeaw.ac.at/e00197_1439-12-14.html,551
https://grundbuecher.acdh.oeaw.ac.at/e00198_1439-12-18.html,2199
https://grundbuecher.acdh.oeaw.ac.at/e00199_1440-02-16.html,325
https://grundbuecher.acdh.oeaw.ac.at/e00200_1440-05-09.html,1090
https://grundbuecher.acdh.oeaw.ac.at/e00201_1440-05-09.html,377
https://grundbuecher.acdh.oeaw.ac.at/e00202_1440-05-09.html,1362
https://grundbuecher.acdh.oeaw.ac.at/e00203_1440-07-15.html,657
https://grundbuecher.acdh.oeaw.ac.at/e00204_1440-08-05.html,682
https://grundbuecher.acdh.oeaw.ac.at/e00205_1441-10-23.html,643
https://grundbuecher.acdh.oeaw.ac.at/e00206_1441-11-24.html,787
https://grundbuecher.acdh.oeaw.ac.at/e00207_1442-04-27.html,311
https://grundbuecher.acdh.oeaw.ac.at/e00208_1442-05-07.html,619
https://grundbuecher.acdh.oeaw.ac.at/e00209_1442-07-27.html,1155
https://grundbuecher.acdh.oeaw.ac.at/e00210_1443-03-13.html,1369
https://grundbuecher.acdh.oeaw.ac.at/e00211_1443-04-10.html,875
https://grundbuecher.acdh.oeaw.ac.at/e00212_1443-07-31.html,1061
https://grundbuecher.acdh.oeaw.ac.at/e00213_1444-06-05.html,805
https://grundbuecher.acdh.oeaw.ac.at/e00214_1445-04-09.html,656
https://grundbuecher.acdh.oeaw.ac.at/e00215_1445-06-11.html,953
https://grundbuecher.acdh.oeaw.ac.at/e00216_1445-07-09.html,465
https://grundbuecher.acdh.oeaw.ac.at/e00217_1445-09-24.html,950
https://grundbuecher.acdh.oeaw.ac.at/e00218_1446-03-30.html,535
https://grundbuecher.acdh.oeaw.ac.at/e00219_1446.html,914
https://grundbuecher.acdh.oeaw.ac.at/e00220_1446.html,414
https://grundbuecher.acdh.oeaw.ac.at/e00221_1447.html,1424
https://grundbuecher.acdh.oeaw.ac.at/e00222_1447-03-15.html,1106
https://grundbuecher.acdh.oeaw.ac.at/e00223_1447-03-22.html,1028
https://grundbuecher.acdh.oeaw.ac.at/e00224_1447-04-26.html,969
https://grundbuecher.acdh.oeaw.ac.at/e00225_1447-04-28.html,757
https://grundbuecher.acdh.oeaw.ac.at/e00227_1448-03-06.html,1002
https://grundbuecher.acdh.oeaw.ac.at/e00228_1448-04-22.html,826
https://grundbuecher.acdh.oeaw.ac.at/e00229_1448-05-27.html,720
https://grundbuecher.acdh.oeaw.ac.at/e00230_1448-11-20.html,982
https://grundbuecher.acdh.oeaw.ac.at/e00231_1448-09-20.html,899
https://grundbuecher.acdh.oeaw.ac.at/e00232_1449-07-07.html,922
https://grundbuecher.acdh.oeaw.ac.at/e00233_1449-11-28.html,496
https://grundbuecher.acdh.oeaw.ac.at/e00234_1449-11-26.html,1116
https://grundbuecher.acdh.oeaw.ac.at/e00235_1449-11-28.html,1339
https://grundbuecher.acdh.oeaw.ac.at/e00236_1450-03-16.html,612
https://grundbuecher.acdh.oeaw.ac.at/e00237_1450-11-09.html,991
https://grundbuecher.acdh.oeaw.ac.at/e00238_1451-03-05.html,681
https://grundbuecher.acdh.oeaw.ac.at/e00239_1451-03-05.html,754
https://grundbuecher.acdh.oeaw.ac.at/e00240_1451-04-12.html,970
https://grundbuecher.acdh.oeaw.ac.at/e00241_1451-04-14.html,1491
https://grundbuecher.acdh.oeaw.ac.at/e00242_1451-07-30.html,552
https://grundbuecher.acdh.oeaw.ac.at/e00243_1451-08-06.html,1590
https://grundbuecher.acdh.oeaw.ac.at/e00243_1451.html,235
https://grundbuecher.acdh.oeaw.ac.at/e00244_1451-08-16.html,414
https://grundbuecher.acdh.oeaw.ac.at/e00245_1451-08-30.html,640
https://grundbuecher.acdh.oeaw.ac.at/e00246_1451-08-30.html,801
https://grundbuecher.acdh.oeaw.ac.at/e00247_1452-01-13.html,1406
https://grundbuecher.acdh.oeaw.ac.at/e00248_1452-05-19.html,759
https://grundbuecher.acdh.oeaw.ac.at/e00249_1452-07-28.html,455
https://grundbuecher.acdh.oeaw.ac.at/e00250_1452-08-09.html,508
https://grundbuecher.acdh.oeaw.ac.at/e00251_1453-04-20.html,733
